cue_frequency,cue_frequency_range,choice_frequency,choice_frequency_range,thisN,thisTrialN,thisRepN,.thisRepN,.thisTrialN,.thisN,.thisIndex,thisN,thisTrialN,thisRepN,audio_onset,audio_offset,display_feedback,response_time,response,runid,ttl,monitor,responseType,eyetracker,screen_resolution,monitor_width,full_screen,ttl_code,sound_fs,mmb_port_code,pport_port_code,ttl_port,outputDir,date,psychopy_version,
400,0.5,480,0.5,0,0,1,1,0,0,4,0,0,1,73.64403928899992,82.14527139499842,82.14527139499842,82.14219414099898,diff,chase50coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct,2023-07-21_12h33.59.181,2022.1.4,
400,0.5,420,0.5,1,1,1,1,1,1,2,1,1,1,89.91267580799831,95.71185346999846,95.71185346999846,95.7086689889984,same,chase50coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct,2023-07-21_12h33.59.181,2022.1.4,
400,0.5,400,0.5,2,2,1,1,2,2,0,2,2,1,102.5455507229999,108.39478190799855,108.39478190799855,108.39203234999877,same,chase50coh_0.5oct,None,debugging_monitor,mouse,None,"[800, 800]",32,False,255,44100,None,DFF8,NaN,/Users/chase/Downloads/Task_TaxonomyAuditoryMemory-main 5/logs/chase50coh_0.5oct,2023-07-21_12h33.59.181,2022.1.4,
,,,,3,3,1,,,,,3,3,1,,,,,,,,,,,,,,,,,,,,,,
